"fwcoymap_id","all_oysters_id","UniversalReefID"
"433387",232,157
"434899",233,158
"432873",234,159
"432968",235,160
"433544",236,161
"435174",237,162
"434605",238,163
"434014",239,164
"434705",240,165
"433561",241,166
"433305",242,167
"433838",243,168
"433057",244,169
"433548",245,170
"433026",246,171
"432837",247,172
"433094",248,173
"433206",249,174
"433349",250,175
"434525",251,176
"434393",252,177
"432834",253,178
"432686",254,179
"435072",255,180
"435019",256,181
"434036",257,182
"432971",258,183
"433227",259,184
"432638",260,185
"433330",261,186
"433507",262,187
"432947",263,188
"433467",264,189
"433799",265,190
"433788",266,191
"432805",267,192
"433708",268,193
"433608",269,194
"434500",270,195
"434375",271,196
"434355",272,197
"434308",273,198
"434529",274,199
"432991",275,200
"432877",276,201
"433863",277,202
"435553",278,203
"434301",279,204
"434829",280,205
"435092",281,206
"434562",282,207
"434614",283,208
"434120",284,209
"433033",285,210
"432843",286,211
"435009",287,212
"434851",288,213
"434438",289,214
"434949",290,215
"433290",291,216
"432994",292,217
"432851",293,218
"434950",294,219
"433425",295,220
"435447",296,221
"432995",297,222
"435604",298,223
"432884",299,224
"432746",300,225
"433849",301,226
"434429",302,227
"432450",303,228
"432682",304,229
"434363",305,230
"433089",306,231
"433716",307,232
"433978",308,233
"432842",309,234
"433762",310,235
"433767",311,236
"432782",312,237
"432506",313,238
"432570",314,239
"433168",315,240
"435544",316,241
"433424",317,242
"433292",318,243
"432754",319,244
"433667",320,245
"434478",321,246
"434768",322,247
"433895",323,248
"434894",324,249
"435285",325,250
"435228",326,251
"432918",327,252
"434042",328,253
"432668",329,254
"432712",330,255
"434781",331,256
"432826",332,257
"434886",333,258
"433771",334,259
"434581",335,260
"433321",336,261
"433794",337,262
"434254",338,263
"433396",339,264
"434060",340,265
"433066",341,266
"434739",342,267
"433952",343,268
"433029",344,269
"432490",345,270
"434247",346,271
"433255",347,272
"433494",348,273
"432785",349,274
"432556",350,275
"433592",351,276
"434662",352,277
"433710",353,278
"432907",354,279
"433181",355,280
"434250",356,281
"433671",357,282
"433491",358,283
"432312",359,284
"433720",360,285
"432239",361,286
"432099",362,287
"432172",363,288
"432832",364,289
"434410",365,290
"434324",366,291
"432879",367,292
"433932",368,293
"432403",369,294
"433236",370,295
"435332",371,296
"434012",372,297
"434790",373,298
"433584",374,299
"434407",375,300
"433169",376,301
"434464",377,302
"435070",378,303
"435216",379,304
"434584",380,305
"432512",381,306
"434283",382,307
